course_id,title_original,title,organization,rating,review_count,difficulty,course_type,duration_readable,duration,skills_formatted,skills,url,is_free
s12n~SzVE_nqnEemyQA4Z1lAc_A,Fintech: Foundations & Applications of Financial Technology,fintech foundation application financial technology,University of Pennsylvania,4.605712760277633,3746,Beginner,Specialization,3-6 months,THREE_TO_SIX_MONTHS,"Fintech, Portfolio, Management, Consumer, Lending, Return, Investment, Blockchain, Cryptography, Creditdebit, Card, Processing, Digital, Asset, Financial, Service, Payment, Processing, Investment, Lending, Underwriting, Investment, Management, Technology, Strategy, Emerging, Technology, Risk, Analysis, Fundraising, Crowdsourcing, Financial, Market, Financial, Analysis, Market, Analysis",fintech portfolio management consumer lending return investment blockchain cryptography creditdebit card processing digital asset financial service payment processing investment lending underwriting investment management technology strategy emerging technology risk analysis fundraising crowdsourcing financial market financial analysis market analysis,/specializations/wharton-fintech,False
course~c9dt2Qp9Eeuf7w5EwYPThw,Process Data from Dirty to Clean,process data dirty clean,Google,4.812729968696798,18209,Beginner,Course,1-3 months,ONE_TO_THREE_MONTHS,"Data, Cleansing, Sampling, Statistic, Data, Integrity, Data, Quality, Data, Processing, Data, Analysis, Data, Transformation, Data, Validation, Sample, Size, Determination, SQL, Spreadsheet, Software",data cleansing sampling statistic data integrity data quality data processing data analysis data transformation data validation sample size determination sql spreadsheet software,/learn/process-data,False
s12n~zgK_5Q8CEeu-sxLx_g1Pbw,Think like a CFO,think like cfo,IESE Business School,4.817843985263495,6243,Beginner,Specialization,3-6 months,THREE_TO_SIX_MONTHS,"Financial, Statement, Analysis, Financial Statement, Corporate, Finance, Accounting, Income, Statement, Cash, Flow, Financial, Market, Capital, Budgeting, Financial, Accounting, Accrual, Accounting, Operational, Analysis, Financial, Modeling, Working, Capital, Balance, Sheet, Financial, Analysis, Financial, Reporting, Management, Accounting, Financial, Management, Equity, Capital, Market",financial statement analysis financial_statement corporate finance accounting income statement cash flow financial market capital budgeting financial accounting accrual accounting operational analysis financial modeling working capital balance sheet financial analysis financial reporting management accounting financial management equity capital market,/specializations/thinklikeacfo,False
s12n~fwiX71ycToGvHvSczQmgig,ADP Entry-Level Payroll Specialist,adp entrylevel payroll specialist,"Automatic Data Processing, Inc. (ADP)",4.722177419354838,496,Beginner,Professional Certificate,3-6 months,THREE_TO_SIX_MONTHS,"Payroll, Payroll, Processing, Payroll, System, Payroll, Tax, Payroll, Reporting, Payroll, Administration, Compensation, Strategy, Tax, Management, Data, Entry, Employee, Onboarding, Labor, Compliance, Labor, Law, Compensation, Management, Compensation, Benefit, Nonprofit, Accounting, Workforce, Development, Tax, Compliance, Human, Resource, Benefit, Administration, Data, Analysis",payroll payroll processing payroll system payroll tax payroll reporting payroll administration compensation strategy tax management data entry employee onboarding labor compliance labor law compensation management compensation benefit nonprofit accounting workforce development tax compliance human resource benefit administration data analysis,/professional-certificates/adp-payroll-specialist,False
course~R-r2uwp-Eeuf7w5EwYPThw,"Start the UX Design Process: Empathize, Define, and Ideate",start ux design process empathize define ideate,Google,4.808545654029014,16406,Beginner,Course,1-4 weeks,ONE_TO_FOUR_WEEKS,"User, Experience, Design, Persona, User, Experience, Web, Content, Accessibility, Guideline, User, Story, Usability, User, Research, Human, Factor, Human, Centered, Design, Ideation, User, Flow, Competitive, Analysis, Mockups",user experience design persona user experience web content accessibility guideline user story usability user research human factor human centered design ideation user flow competitive analysis mockups,/learn/start-ux-design-process,False
course~h_qSTmUJEe21jBLFGcIQ1w,Tools of the Trade: Linux and SQL,tool trade linux sql,Google,4.822709163346613,5522,Beginner,Course,1-4 weeks,ONE_TO_FOUR_WEEKS,"Bash, Scripting, Language, Operating, System, File, System, Linux, Command, Linux, SQL, Unix, Database, Management, Commandline, Interface, Relational, Database, Authorization, Computing, Authentication, User, Account",bash scripting language operating system file system linux command linux sql unix database management commandline interface relational database authorization computing authentication user account,/learn/linux-and-sql,False
s12n~ngGrbCfFEeiBCA4w6CjTYA,The Business of Health Care,business health care,University of Pennsylvania,4.625142265907916,1933,Beginner,Specialization,3-6 months,THREE_TO_SIX_MONTHS,"People, Management, Financial, Reporting, Financial Statement, Operation, Management, Health, Disparity, Income, Statement, Employee, Performance, Management, Financial, Analysis, Leadership, Management, Health, System, Health, Equity, Health, Care, Administration, Innovation, Process, Improvement, Optimization, Decision Making, Organizational, Structure, Performance, Improvement, Health, Care, Procedure, Regulation, Health, Care, Insurance",people management financial reporting financial_statement operation management health disparity income statement employee performance management financial analysis leadership management health system health equity health care administration innovation process improvement optimization decision_making organizational structure performance improvement health care procedure regulation health care insurance,/specializations/healthcare-administration-management,False
s12n~s-9jsN74QTylrBFE7FCJoQ,Microsoft Cybersecurity Analyst,microsoft cybersecurity analyst,Microsoft,4.727972560975611,2624,Beginner,Professional Certificate,3-6 months,THREE_TO_SIX_MONTHS,"Threat, Modeling, Mitre, Attck, Framework, Penetration, Testing, Azure, Active, Directory, Network, Security, Computer, System, Security, Information, Event, Management, Siem, Security, Testing, Encryption, Cybersecurity, System, Testing, Cloud, Security, Vulnerability, Scanning, Threat, Management, Cloud, Computing, Business, Software, Authentication, Active, Directory, Data, Management, Computer, Security, Incident, Management",threat modeling mitre attck framework penetration testing azure active directory network security computer system security information event management siem security testing encryption cybersecurity system testing cloud security vulnerability scanning threat management cloud computing business software authentication active directory data management computer security incident management,/professional-certificates/microsoft-cybersecurity-analyst,False
s12n~8iarSWtaRJqsbiiwk8MptQ,Pharmacy Technician Fundamentals,pharmacy technician fundamental,MedCerts,4.767736021998166,1091,Beginner,Specialization,3-6 months,THREE_TO_SIX_MONTHS,"Medical, Terminology, Healthcare, Ethic, Medication, Dispensation, Pharmacist, Assistance, Medical, Prescription, Pharmacology, Conflict, Management, Pharmacy, Operation, Anatomy, Pathology, Cultural, Responsiveness, Patient, Safety, Patient, Education, Counseling, Cultural, Diversity, Pharmacy, Cultural, Sensitivity, Pharmaceutical, Professionalism, Medical, Record, Health, Information, Management, Medical, Record",medical terminology healthcare ethic medication dispensation pharmacist assistance medical prescription pharmacology conflict management pharmacy operation anatomy pathology cultural responsiveness patient safety patient education counseling cultural diversity pharmacy cultural sensitivity pharmaceutical professionalism medical record health information management medical record,/specializations/pharmacy-technician-fundamentals,False
s12n~73SfxEbZTkqRkJsZSElEww,Microsoft Python Development,microsoft python development,Microsoft,4.397333333333333,300,Beginner,Professional Certificate,3-6 months,THREE_TO_SIX_MONTHS,"Web, Scraping, Data, Structure, Git, Version, Control, System, Generative, AI, Version, Control, Matplotlib, Plotly, Devops, Agile, Methodology, Web, Development, Data, Ethic, Flask, Web, Framework, Data, Visualization, Scripting, Github, Debugging, Data, Cleansing, Data, Analysis, Automation, Cloud, Computing",web scraping data structure git version control system generative ai version control matplotlib plotly devops agile methodology web development data ethic flask web framework data visualization scripting github debugging data cleansing data analysis automation cloud computing,/professional-certificates/microsoft-python-developer,False
